image_id,image_path,annotation_path,has_annotation,tumor
IMG001352,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001352.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001352.json,1,1
IMG002579,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002579.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002579.json,0,0
IMG000959,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000959.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000959.json,1,1
IMG001147,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001147.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001147.json,1,1
IMG000156,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000156.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000156.json,1,1
IMG000366,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000366.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000366.json,1,1
IMG000052,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000052.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000052.json,1,1
IMG002251,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002251.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002251.json,0,0
IMG000241,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000241.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000241.json,1,1
IMG000415,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG000415.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG000415.json,1,1
IMG001934,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG001934.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG001934.json,0,0
IMG002055,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\sample_data\IMG002055.jpeg,C:\Users\onasrawx\PycharmProjects\TumorDataset\TumorDataset\Annotations\IMG002055.json,0,0
